"diaphane"	"diaphanéité"
"diathermane"	"diathermanéité"
"difforme"	"difformité"
"diffusible"	"diffusibilité"
"digestible"	"digestibilité"
"digne"	"dignité"
"dilatable"	"dilatabilité"
"dimensionnel"	"dimensionnalité"
"directif"	"directivité"
"discontinu"	"discontinuité"
"discursif"	"discursivité"
"disponible"	"disponibilité"
"dissociable"	"dissociabilité"
"dissoluble"	"dissolubilité"
"distributif"	"distributivité"
"divers"	"diversité"
"divin"	"divinité"
"divisible"	"divisibilité"
"docile"	"docilité"
"domanial"	"domanialité"
"domestique"	"domesticité"
"duel"	"dualité"
"ductile"	"ductilité"
"double"	"duplicité"
"durable"	"durabilité"
"débile"	"débilité"
"décimal"	"décimalité"
"déductible"	"déductibilité"
"défectueux"	"défectuosité"
"déformable"	"déformabilité"
"dégressif"	"dégressivité"
"démonial"	"démonialité"
"démontrable"	"démontrabilité"
"dérivable"	"dérivabilité"
"désirable"	"désirabilité"
"déterminable"	"déterminabilité"
"effectivif"	"effectivité"
"effectuel"	"effectualité"
"efficace"	"efficacité"
"elliptique"	"ellipticité"
"empirique"	"empiricité"
"endémique"	"endémicité"
"essentiel"	"essentialité"
"européen"	"européanité"
"excentrique"	"excentricité"
"excitable"	"excitabilité"
"exclusif"	"exclusivité"
"excusable"	"excusabilité"
"exemplaire"	"exemplarité"
"exhaustif"	"exhaustivité"
"exigible"	"exigibilité"
"expansible"	"expansibilité"
"expansif"	"expansivité"
"exploitable"	"exploitabilité"
"explosible"	"explosibilité"
"expressif"	"expressivité"
"exquis"	"exquisité"
"extensible"	"extensibilité"
"extensif"	"extensivité"
"extra-territorial"	"extra-territorialité"
"extrême"	"extrémité"
"extérieur"	"extériorité"
"exécrable"	"exécrabilité"
"fabricable"	"fabricabilité"
"facile"	"facilité"
"factice"	"facticité"
"factuel"	"factualité"
"faillible"	"faillibilité"
"faisable"	"faisabilité"
"falsifiable"	"falsifiabilité"
"familier"	"familiarité"
"fameux"	"famosité"
"fastidieux"	"fastidiosité"
"fastueux"	"fastuosité"
"fatal"	"fatalité"
"fatigable"	"fatigabilité"
"fat"	"fatuité"
"fermentescible"	"fermentescibilité"
"ferrugineux"	"ferruginosité"
"fertile"	"fertilité"
"festif"	"festivité"
"fiable"	"fiabilité"
"fidèle"	"fidélité"
"filable"	"filabilité"
"filial"	"filialité"
"filtrable"	"filtrabilité"
"final"	"finalité"
"fiscal"	"fiscalité"
"fissipare"	"fissiparité"
"fixe"	"fixité"
"flaccide"	"flaccidité"
"flatueux"	"flatuosité"
"flexible"	"flexibilité"
"flexueux"	"flexuosité"
"flottable"	"flottabilité"
"fluide"	"fluidité"
"fonctionnel"	"fonctionnalité"
"fongible"	"fongibilité"
"fongueux"	"fongosité"
"formable"	"formabilité"
"formel"	"formalité"
"fortuit"	"fortuité"
"fossile"	"fossilité"
"fragile"	"fragilité"
"français"	"francité"
"friable"	"friabilité"
"frigide"	"frigidité"
"frileux"	"frilosité"
"frivole"	"frivolité"
"froissable"	"froissabilité"
"frontal"	"frontalité"
"frugal"	"frugalité"
"fugace"	"fugacité"
"fugitif"	"fugitivité"
"fuligineux"	"fuliginosité"
"fusible"	"fusibilité"
"futile"	"futilité"
"fébrile"	"fébrilité"
"fécondable"	"fécondabilité"
"fécond"	"fécondité"
"félin"	"félinité"
"féminin"	"féminité"
"féodal"	"féodalité"
"féroce"	"férocité"
"fétide"	"fétidité"
"gemmipare"	"gemmiparité"
"germain"	"germanité"
"gestuel"	"gestualité"
"gibbeux"	"gibbosité"
"glauque"	"glaucité"
"global"	"globalité"
"gracile"	"gracilité"
"graduel"	"gradualité"
"grammatical"	"grammaticalité"
"granulaire"	"granularité"
"gratuit"	"gratuité"
"gravide"	"gravidité"
"grave"	"gravité"
"grec"	"grécité"
"grégaire"	"grégarité"
"gélif"	"gélivité"
"gémellaire"	"gémellarité"
"jumeau"	"gémellité"
"génial"	"génialité"
"génital"	"génitalité"
"général"	"généralité"
"généreux"	"générosité"
"habile"	"habilité"
"habitable"	"habitabilité"
"hermétique"	"herméticité"
"hilare"	"hilarité"
"historique"	"historicité"
"homogène"	"homogénéité"
"homosexuel"	"homosexualité"
"honorable"	"honorabilité"
"horizontal"	"horizontalité"
"hospitalier"	"hospitalité"
"hostile"	"hostilité"
"humain"	"humanité"
"humide"	"humidité"
"humble"	"humilité"
"hybride"	"hybridité"
"hydraulique"	"hydraulicité"
"hydroélectrique"	"hydroélectricité"
"hygrométrique"	"hygrométricité"
"hygroscopique"	"hygroscopicité"
"hyperactif"	"hyperactivité"
"hypersensible"	"hypersensibilité"
"hyperémotif"	"hyperémotivité"
"hypnotisable"	"hypnotisabilité"
"hédonique"	"hédonicité"
"hémisphérique"	"hémisphéricité"
"héritable"	"héritabilité"
"héroïque"	"héroïcité"
"hérétique"	"héréticité"
"hétérogène"	"hétérogénéité"
"hétérosexuel"	"hétérosexualité"
"idoine"	"idonéité"
"idéal"	"idéalité"
"ignoble"	"ignobilité"
"illicite"	"illicité"
"illisible"	"illisibilité"
"illogique"	"illogicité"
"illégal"	"illégalité"
"illégitime"	"illégitimité"
"imbécile"	"imbécillité"
"imitable"	"imitabilité"
"immature"	"immaturité"
"immatériel"	"immatérialité"
"immense"	"immensité"
"immiscible"	"immiscibilité"
"immobile"	"immobilité"
"immonde"	"immondicité"
"immoral"	"immoralité"
"immortel"	"immortalité"
"immuable"	"immuabilité"
"immun"	"immunité"
"immutable"	"immutabilité"
"impalpable"	"impalpabilité"
"impair"	"imparité"
"impartial"	"impartialité"
"impassible"	"impassibilité"
"impavide"	"impavidité"
"impeccable"	"impeccabilité"
"impensable"	"impensabilité"
"imperceptible"	"imperceptibilité"
"imperfectible"	"imperfectibilité"
"impermutable"	"impermutabilité"
"imperméable"	"imperméabilité"
"impersonnel"	"impersonnalité"
"imperturbable"	"imperturbabilité"
"impitoyable"	"impitoyabilité"
"implacable"	"implacabilité"
"impondérable"	"impondérabilité"
"impopulaire"	"impopularité"
"importun"	"importunité"
"impossible"	"impossibilité"
"impraticable"	"impraticabilité"
"imprenable"	"imprenabilité"
"imprescriptible"	"imprescriptibilité"
"impressible"	"impressibilité"
"impressionnable"	"impressionnabilité"
"improbable"	"improbabilité"
"improbe"	"improbité"
"improductif"	"improductivité"
"imprévisible"	"imprévisibilité"
"impudique"	"impudicité"
"impulsif"	"impulsivité"
"imputable"	"imputabilité"
"imputrescible"	"imputrescibilité"
"impécunieux"	"impécuniosité"
"impénétrable"	"impénétrabilité"
"impératif"	"impérativité"
"impérieux"	"impériosité"
"impétueux"	"impétuosité"
"inaccessible"	"inaccessibilité"
"inadmissible"	"inadmissibilité"
"inaliénable"	"inaliénabilité"
"inaltérable"	"inaltérabilité"
"inamissible"	"inamissibilité"
"inamovible"	"inamovibilité"
"inapplicable"	"inapplicabilité"
"inauthentique"	"inauthenticité"
"incalculable"	"incalculabilité"
"incessible"	"incessibilité"
"incivil"	"incivilité"
"incoercible"	"incoercibilité"
"incombustible"	"incombustibilité"
"incommensurable"	"incommensurabilité"
"incommode"	"incommodité"
"incommunicable"	"incommunicabilité"
"incommutable"	"incommutabilité"
"incompatible"	"incompatibilité"
"incompressible"	"incompressibilité"
"incompréhensible"	"incompréhensibilité"
"inconcevable"	"inconcevabilité"
"inconciliable"	"inconciliabilité"
"inconditionnel"	"inconditionnalité"
"incongru"	"incongruité"
"inconnaissable"	"inconnaissabilité"
"inconstitutionnel"	"inconstitutionnalité"
"incontestable"	"incontestabilité"
"inconvertible"	"inconvertibilité"
"incorporel"	"incorporalité"
"incorrigible"	"incorrigibilité"
"incorruptible"	"incorruptibilité"
"incroyable"	"incrédibilité"
"incrédule"	"incrédulité"
"incurable"	"incurabilité"
"indescriptible"	"indescriptibilité"
"indestructible"	"indestructibilité"
"indicible"	"indicibilité"
"indigne"	"indignité"
"indiscernable"	"indiscernabilité"
"indispensable"	"indispensabilité"
"indisponible"	"indisponibilité"
"indissoluble"	"indissolubilité"
"individuel"	"individualité"
"indivisible"	"indivisibilité"
"indocile"	"indocilité"
"indomptable"	"indomptabilité"
"indéclinable"	"indéclinabilité"
"indécrottable"	"indécrottabilité"
"indéfectible"	"indéfectibilité"
"indéfini"	"indéfinité"
"indéformable"	"indéformabilité"
"indélébile"	"indélébilité"
"indéterminable"	"indéterminabilité"
"ineffable"	"ineffabilité"
"inefficace"	"inefficacité"
"inessentiel"	"inessentialité"
"inexcitable"	"inexcitabilité"
"inexigible"	"inexigibilité"
"inexorable"	"inexorabilité"
"inexplicable"	"inexplicabilité"
"inexpressif"	"inexpressivité"
"inexprimable"	"inexprimabilité"
"inexpugnable"	"inexpugnabilité"
"inextensible"	"inextensibilité"
"inextricable"	"inextricabilité"
"infaillible"	"infaillibilité"
"infantile"	"infantilité"
"infatigable"	"infatigabilité"
"infectieux"	"infectiosité"
"infertile"	"infertilité"
"infidèle"	"infidélité"
"infime"	"infimité"
"infini"	"infinité"
"infinitésimal"	"infinitésimalité"
"infirme"	"infirmité"
"inflammable"	"inflammabilité"
"inflexible"	"inflexibilité"
"influençable"	"influençabilité"
"informe"	"informité"
"infroissable"	"infroissabilité"
"inférieur"	"infériorité"
"ingénieux"	"ingéniosité"
"ingénu"	"ingénuité"
"inhabile"	"inhabilité"
"inhabitable"	"inhabitabilité"
"inhospitalier"	"inhospitalité"
"inhumain"	"inhumanité"
"inimitable"	"inimitabilité"
"ininflammable"	"ininflammabilité"
"inintelligible"	"inintelligibilité"
"injustifiable"	"injustifiabilité"
"innombrable"	"innombrabilité"
"inné"	"innéité"
"inoculable"	"inoculabilité"
"inofficieux"	"inofficiosité"
"inopportun"	"inopportunité"
"inopérable"	"inopérabilité"
"insaisissable"	"insaisissabilité"
"insalubre"	"insalubrité"
"insatiable"	"insatiabilité"
"insensible"	"insensibilité"
"insexuel"	"insexualité"
"insincère"	"insincérité"
"insipide"	"insipidité"
"insociable"	"insociabilité"
"insoluble"	"insolubilité"
"insolvable"	"insolvabilité"
"insondable"	"insondabilité"
"insonore"	"insonorité"
"instable"	"instabilité"
"instantané"	"instantanéité"
"instinctif"	"instinctivité"
"instrumental"	"instrumentalité"
"insubmersible"	"insubmersibilité"
"insubstantiel"	"insubstantialité"
"insulaire"	"insularité"
"insupportable"	"insupportabilité"
"insécable"	"insécabilité"
"inséparable"	"inséparabilité"
"intangible"	"intangibilité"
"intellectuel"	"intellectualité"
"intelligible"	"intelligibilité"
"intempestif"	"intempestivité"
"intemporel"	"intemporalité"
"intense"	"intensité"
"intentionnel"	"intentionnalité"
"interactif"	"interactivité"
"interchangeable"	"interchangeabilité"
"interdisciplinaire"	"interdisciplinarité"
"intermédiaire"	"intermédiarité"
"international"	"internationalité"
"intersexuel"	"intersexualité"
"intertextuel"	"intertextualité"
"intime"	"intimité"
"intouchable"	"intouchabilité"
"intransitif"	"intransitivité"
"intransmissible"	"intransmissibilité"
"intrépide"	"intrépidité"
"intégrable"	"intégrabilité"
"intégral"	"intégralité"
"intègre"	"intégrité"
"intérieur"	"intériorité"
"intéroceptif"	"intéroceptivité"
"inusable"	"inusabilité"
"inutile"	"inutilité"
"invalide"	"invalidité"
"invariable"	"invariabilité"
"inventif"	"inventivité"
"inviable"	"inviabilité"
"invincible"	"invincibilité"
"inviolable"	"inviolabilité"
"invisible"	"invisibilité"
"invulnérable"	"invulnérabilité"
"inébranlable"	"inébranlabilité"
"inéducable"	"inéducabilité"
"inégal"	"inégalité"
"inélastique"	"inélasticité"
"inéligible"	"inéligibilité"
"inéluctable"	"inéluctabilité"
"inépuisable"	"inépuisabilité"
"inévitable"	"inévitabilité"
"irascible"	"irascibilité"
"irrationnel"	"irrationalité"
"irrecevable"	"irrecevabilité"
"irremplaçable"	"irremplaçabilité"
"irrespirable"	"irrespirabilité"
"irresponsable"	"irresponsabilité"
"irritable"	"irritabilité"
"irréel"	"irréalité"
"irréconciliable"	"irréconciliabilité"
"irrécusable"	"irrécusabilité"
"irréductible"	"irréductibilité"
"irréformable"	"irréformabilité"
"irréfutable"	"irréfutabilité"
"irrégulier"	"irrégularité"
"irréligieux"	"irréligiosité"
"irrémédiable"	"irrémédiabilité"
"irréparable"	"irréparabilité"
"irréprochable"	"irréprochabilité"
"irrésistible"	"irrésistibilité"
"irrétrécissable"	"irrétrécissabilité"
"irréversible"	"irréversibilité"
"irrévocable"	"irrévocabilité"
"isotonique"	"isotonicité"
"joli"	"jolité"
"jovial"	"jovialité"
"judaïque"	"judaïcité"
"juif"	"judéité"
"justiciable"	"justiciabilité"
"juvénil"	"juvénilité"
"labile"	"labilité"
"lascif"	"lascivité"
"latin"	"latinité"
"latéral"	"latéralité"
"lavable"	"lavabilité"
"laïc"	"laïcité"
"libidineux"	"libidinosité"
"libéral"	"libéralité"
"licite"	"licéité"
"limpide"	"limpidité"
"linéaire"	"linéarité"
"liquide"	"liquidité"
"lisible"	"lisibilité"
"littéral"	"littéralité"
"littéraire"	"littérarité"
"livide"	"lividité"
"local"	"localité"
"logeable"	"logeabilité"
"loquace"	"loquacité"
"lubrique"	"lubricité"
"lucide"	"lucidité"
"lumineux"	"luminosité"
"légal"	"légalité"
"légitime"	"légitimité"
"létal"	"létalité"
"magnanime"	"magnanimité"
"majeur"	"majorité"
"malin"	"malignité"
"malléable"	"malléabilité"
"maniable"	"maniabilité"
"manoeuvrable"	"manoeuvrabilité"
"manuel"	"manualité"
"marginal"	"marginalité"
"masculin"	"masculinité"
"massif"	"massivité"
"mat"	"matité"
"matrilinéaire"	"matrilinéarité"
"mature"	"maturité"
"matériel"	"matérialité"
"mensuel"	"mensualité"
"mensurable"	"mensurabilité"
"mental"	"mentalité"
"mercenaire"	"mercenarité"
"mineur"	"minorité"
"ministériel"	"ministérialité"
"minéral"	"minéralité"
"miscible"	"miscibilité"
"mixte"	"mixité"
"mobile"	"mobilité"
"modal"	"modalité"
"moderne"	"modernité"
"modique"	"modicité"
"modifiable"	"modificabilité"
"modérable"	"modérabilité"
"molaire"	"molarité"
"moléculaire"	"molécularité"
"mondain"	"mondanité"
"mondial"	"mondialité"
"monosexuel"	"monosexualité"
"monstrueux"	"monstruosité"
"montueux"	"montuosité"
"monumental"	"monumentalité"
"moral"	"moralité"
"morbide"	"morbidité"
"mortel"	"mortalité"
"mosaïque"	"mosaïcité"
"moteur"	"motricité"
"mouillable"	"mouillabilité"
"muable"	"muabilité"
"muqueux"	"mucosité"
"multidisciplinaire"	"multidisciplinarité"
"multilatéral"	"multilatéralité"
"multinational"	"multinationalité"
"multipare"	"multiparité"
"multipolaire"	"multipolarité"
