#ID#	#ENTRY#	#ENTRY_POS#	#PARENT#	#PARENT_POS#	#ENTRY_SEM#	#PARENT_SEM#
152	#commutatif#	#ADJ#	#commutativité#	#N#	#propriété#	#PROPRIETE#
153	#compact#	#ADJ#	#compacité#	#N#	#physique#	#PROPRIETE / MESURE#
154	#comparable#	#ADJ#	#comparabilité#	#N#	#propriété#	#PROPRIETE#
155	#compatible#	#ADJ#	#compatibilité#	#N#	#propriété#	#PROPRIETE#
156	#complexe#	#ADJ#	#complexité#	#N#	#évaluatif#	#PROPRIETE#
157	#complice#	#ADJ#	#complicité#	#N#	#propriété / attitude#	#PROPRIETE / ATTITUDE#
158	#complémentaire#	#ADJ#	#complémentarité#	#N#	#propriété#	#PROPRIETE#
159	#compossible#	#ADJ#	#compossibilité#	#N#	#propriété#	#PROPRIETE#
160	#compressible#	#ADJ#	#compressibilité#	#N#	#propriété#	#PROPRIETE / MESURE#
161	#compréhensible#	#ADJ#	#compréhensibilité#	#N#	#propriété#	#PROPRIETE#
162	#compréhensif#	#ADJ#	#compréhensivité#	#N#	#propriété#	#PROPRIETE#
163	#comptable#	#ADJ#	#comptabilité#	#N#	#propriété#	#ACTIVITE#
164	#compétitif#	#ADJ#	#compétitivité#	#N#	#propriété#	#PROPRIETE#
165	#concave#	#ADJ#	#concavité#	#N#	#physique#	#PROPRIETE / MESURE#
166	#concentrique#	#ADJ#	#concentricité#	#N#	#RELATIONNEL#	#PROPRIETE / MEROCO#
167	#conceptuel#	#ADJ#	#conceptualité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / RELATION#
168	#condensable#	#ADJ#	#condensabilité#	#N#	#propriété#	#PROPRIETE#
169	#conductible#	#ADJ#	#conductibilité#	#N#	#propriété#	#PROPRIETE / MESURE#
170	#conductif#	#ADJ#	#conductivité#	#N#	#propriété#	#MESURE#
171	#confidentiel#	#ADJ#	#confidentialité#	#N#	#propriété#	#PROPRIETE#
172	#conformable#	#ADJ#	#conformabilité#	#N#	#propriété#	#PROPRIETE#
173	#conforme#	#ADJ#	#conformité#	#N#	#RELATIONNEL#	#PROPRIETE / MEROCO#
174	#confortable#	#ADJ#	#confortabilité#	#N#	#propriété#	#PROPRIETE#
175	#congru#	#ADJ#	#congruité#	#N#	#évaluatif#	#PROPRIETE#
176	#congénital#	#ADJ#	#congénitalité#	#N#	#propriété#	#PROPRIETE#
177	#conique#	#ADJ#	#conicité#	#N#	#RELATIONNEL#	#PROPRIETE / MESURE / MERO3#
178	#conjugal#	#ADJ#	#conjugalité#	#N#	#RELATIONNEL#	#PROPRIETE / RELATION#
179	#connaturel#	#ADJ#	#connaturalité#	#N#	#propriété#	#PROPRIETE / MEROCO#
180	#connexe#	#ADJ#	#connexité#	#N#	#propriété#	#PROPRIETE#
181	#consanguin#	#ADJ#	#consanguinité#	#N#	#physique / attitude#	#PROPRIETE / MEROCO#
182	#consommable#	#ADJ#	#consommabilité#	#N#	#propriété#	#PROPRIETE#
183	#constitutionnel#	#ADJ#	#constitutionnalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE#
184	#constructible#	#ADJ#	#constructibilité#	#N#	#propriété#	#PROPRIETE#
185	#constructif#	#ADJ#	#constructivité#	#N#	#propriété#	#PROPRIETE#
186	#consubstantiel#	#ADJ#	#consubstantialité#	#N#	#propriété#	#PROPRIETE#
187	#consultable#	#ADJ#	#consultabilité#	#N#	#propriété#	#PROPRIETE#
188	#contagieux#	#ADJ#	#contagiosité#	#N#	#propriété#	#PROPRIETE#
189	#contemporain#	#ADJ#	#contemporanéité#	#N#	#RELATIONNEL#	#PROPRIETE / MEROCO#
190	#contestable#	#ADJ#	#contestabilité#	#N#	#propriété#	#PROPRIETE#
191	#continental#	#ADJ#	#continentalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / MERO3 / RELATION#
192	#continu#	#ADJ#	#continuité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
193	#contractible#	#ADJ#	#contractibilité#	#N#	#propriété#	#PROPRIETE#
194	#contractile#	#ADJ#	#contractilité#	#N#	#propriété#	#PROPRIETE / MESURE#
195	#contrôlable#	#ADJ#	#contrôlabilité#	#N#	#propriété#	#PROPRIETE#
196	#conventionnel#	#ADJ#	#conventionalité#	#N#	#propriété#	#PROPRIETE / RELATION#
197	#conventuel#	#ADJ#	#conventualité#	#N#	#RELATIONNEL#	#PROPRIETE / RELATION#
198	#convertible#	#ADJ#	#convertibilité#	#N#	#propriété#	#PROPRIETE#
199	#convexe#	#ADJ#	#convexité#	#N#	#physique#	#PROPRIETE / MESURE#
200	#convivial#	#ADJ#	#convivialité#	#N#	#propriété#	#PROPRIETE#
201	#cordial#	#ADJ#	#cordialité#	#N#	#évaluatif#	#PROPRIETE#
202	#coriace#	#ADJ#	#coriacité#	#N#	#évaluatif#	#PROPRIETE#
203	#corporel#	#ADJ#	#corporalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / OCCURRENCE / MERO1 / MERO3 / RELATION#
204	#corrigible#	#ADJ#	#corrigibilité#	#N#	#propriété#	#PROPRIETE#
205	#corruptible#	#ADJ#	#corruptibilité#	#N#	#propriété#	#PROPRIETE#
206	#cortical#	#ADJ#	#corticalité#	#N#	#RELATIONNEL#	#PROPRIETE / MERO1 / MERO3 / RELATION#
207	#cosmique#	#ADJ#	#cosmicité#	#N#	#RELATIONNEL#	#PROPRIETE / MERO2 / RELATION#
208	#criminel#	#ADJ#	#criminalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / TAUX / RELATION#
209	#cristallin#	#ADJ#	#cristallinité#	#N#	#propriété#	#PROPRIETE / MESURE#
210	#critique#	#ADJ#	#criticité#	#N#	#propriété#	#MESURE#
211	#cru#	#ADJ#	#crudité#	#N#	#physique / attitude#	#PROPRIETE / OBJET CONCRET#
212	#créatif#	#ADJ#	#créativité#	#N#	#propriété#	#PROPRIETE#
213	#crédible#	#ADJ#	#crédibilité#	#N#	#propriété#	#PROPRIETE#
214	#crédule#	#ADJ#	#crédulité#	#N#	#attitude#	#PROPRIETE / ATTITUDE#
215	#cubique#	#ADJ#	#cubicité#	#N#	#RELATIONNEL#	#PROPRIETE / MERO3#
216	#coupable#	#ADJ#	#culpabilité#	#N#	#propriété#	#PROPRIETE#
217	#cupide#	#ADJ#	#cupidité#	#N#	#attitude#	#ATTITUDE#
218	#curable#	#ADJ#	#curabilité#	#N#	#propriété#	#PROPRIETE#
219	#curieux#	#ADJ#	#curiosité#	#N#	#évaluatif#	#PROPRIETE / OCCURRENCE#
220	#cyclique#	#ADJ#	#cyclicité#	#N#	#RELATIONNEL#	#PROPRIETE / MESURE / MERO1 / MERO3 / RELATION#
221	#cylindrique#	#ADJ#	#cylindricité#	#N#	#RELATIONNEL#	#PROPRIETE / MESURE / MERO3#
222	#cytotoxique#	#ADJ#	#cytotoxicité#	#N#	#propriété#	#PROPRIETE#
223	#aveugle#	#ADJ#	#cécité#	#N#	#physique#	#PROPRIETE#
224	#célèbre#	#ADJ#	#célébrité#	#N#	#évaluatif#	#PROPRIETE / OCCURRENCE / OBJET CONCRET#
225	#célère#	#ADJ#	#célérité#	#N#	#physique#	#PROPRIETE#
226	#cérébral#	#ADJ#	#cérébralité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / MERO1 / RELATION#
227	#dangereux#	#ADJ#	#dangerosité#	#N#	#évaluatif#	#PROPRIETE#
228	#dense#	#ADJ#	#densité#	#N#	#physique#	#PROPRIETE / MESURE#
229	#destructible#	#ADJ#	#destructibilité#	#N#	#propriété#	#PROPRIETE#
230	#destructif#	#ADJ#	#destructivité#	#N#	#propriété#	#PROPRIETE#
231	#adroit#	#ADJ#	#dextérité#	#N#	#attitude#	#PROPRIETE#
232	#diaphane#	#ADJ#	#diaphanité#	#N#	#physique#	#PROPRIETE#
233	#diaphane#	#ADJ#	#diaphanéité#	#N#	#physique#	#PROPRIETE#
234	#diathermane#	#ADJ#	#diathermanéité#	#N#	#propriété#	#PROPRIETE#
235	#difforme#	#ADJ#	#difformité#	#N#	#physique#	#PROPRIETE / OBJET CONCRET#
236	#diffusible#	#ADJ#	#diffusibilité#	#N#	#propriété#	#PROPRIETE#
237	#digestible#	#ADJ#	#digestibilité#	#N#	#propriété#	#PROPRIETE#
238	#digne#	#ADJ#	#dignité#	#N#	#attitude / évaluatif#	#PROPRIETE / OCCURRENCE#
239	#dilatable#	#ADJ#	#dilatabilité#	#N#	#propriété#	#PROPRIETE#
240	#dimensionnel#	#ADJ#	#dimensionnalité#	#N#	#RELATIONNEL#	#MERO1 / MERO2 / MERO3 / MERO4#
241	#directif#	#ADJ#	#directivité#	#N#	#propriété#	#PROPRIETE#
242	#discontinu#	#ADJ#	#discontinuité#	#N#	#physique#	#PROPRIETE#
243	#discursif#	#ADJ#	#discursivité#	#N#	#RELATIONNEL#	#PROPRIETE / RELATION#
244	#disponible#	#ADJ#	#disponibilité#	#N#	#propriété#	#PROPRIETE#
245	#dissociable#	#ADJ#	#dissociabilité#	#N#	#propriété#	#PROPRIETE#
246	#dissoluble#	#ADJ#	#dissolubilité#	#N#	#propriété#	#PROPRIETE#
247	#distributif#	#ADJ#	#distributivité#	#N#	#propriété#	#PROPRIETE#
248	#divers#	#ADJ#	#diversité#	#N#	#propriété#	#PROPRIETE#
249	#divin#	#ADJ#	#divinité#	#N#	#évaluatif#	#PROPRIETE / OCCURRENCE / RELATION#
250	#divisible#	#ADJ#	#divisibilité#	#N#	#propriété#	#PROPRIETE#
251	#docile#	#ADJ#	#docilité#	#N#	#attitude#	#ATTITUDE#
252	#domanial#	#ADJ#	#domanialité#	#N#	#RELATIONNEL#	#MERO3 / RELATION#
253	#domestique#	#ADJ#	#domesticité#	#N#	#propriété#	#PROPRIETE / RELATION#
254	#duel#	#ADJ#	#dualité#	#N#	#propriété#	#PROPRIETE#
255	#ductile#	#ADJ#	#ductilité#	#N#	#propriété#	#PROPRIETE#
256	#double#	#ADJ#	#duplicité#	#N#	#propriété#	#PROPRIETE#
257	#durable#	#ADJ#	#durabilité#	#N#	#propriété#	#PROPRIETE#
258	#débile#	#ADJ#	#débilité#	#N#	#attitude / évaluatif#	#ATTITUDE#
259	#décimal#	#ADJ#	#décimalité#	#N#	#propriété#	#PROPRIETE#
260	#déductible#	#ADJ#	#déductibilité#	#N#	#propriété#	#PROPRIETE#
261	#défectueux#	#ADJ#	#défectuosité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
262	#déformable#	#ADJ#	#déformabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
263	#dégressif#	#ADJ#	#dégressivité#	#N#	#propriété#	#PROPRIETE#
264	#démonial#	#ADJ#	#démonialité#	#N#	#RELATIONNEL#	#RELATION#
265	#démontrable#	#ADJ#	#démontrabilité#	#N#	#propriété#	#PROPRIETE#
266	#dérivable#	#ADJ#	#dérivabilité#	#N#	#propriété#	#PROPRIETE#
267	#désirable#	#ADJ#	#désirabilité#	#N#	#propriété#	#PROPRIETE#
268	#déterminable#	#ADJ#	#déterminabilité#	#N#	#propriété#	#PROPRIETE#
269	#effectivif#	#ADJ#	#effectivité#	#N#	#propriété#	#PROPRIETE#
270	#effectuel#	#ADJ#	#effectualité#	#N#	#propriété#	#PROPRIETE#
271	#efficace#	#ADJ#	#efficacité#	#N#	#évaluatif#	#PROPRIETE#
272	#elliptique#	#ADJ#	#ellipticité#	#N#	#RELATIONNEL#	#PROPRIETE / MERO3#
273	#empirique#	#ADJ#	#empiricité#	#N#	#propriété#	#PROPRIETE#
274	#endémique#	#ADJ#	#endémicité#	#N#	#propriété#	#PROPRIETE#
275	#essentiel#	#ADJ#	#essentialité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / MERO1#
276	#européen#	#ADJ#	#européanité#	#N#	#ethnique#	#PROPRIETE / APPARTENANCE / OCCURRENCE / MERO2#
277	#excentrique#	#ADJ#	#excentricité#	#N#	#RELATIONNEL#	#PROPRIETE / ATTITUDE / OCCURRENCE / RELATION#
278	#excitable#	#ADJ#	#excitabilité#	#N#	#propriété#	#PROPRIETE#
279	#exclusif#	#ADJ#	#exclusivité#	#N#	#propriété#	#PROPRIETE / ATTITUDE / OCCURRENCE#
280	#excusable#	#ADJ#	#excusabilité#	#N#	#propriété#	#PROPRIETE#
281	#exemplaire#	#ADJ#	#exemplarité#	#N#	#propriété#	#PROPRIETE#
282	#exhaustif#	#ADJ#	#exhaustivité#	#N#	#propriété#	#PROPRIETE#
283	#exigible#	#ADJ#	#exigibilité#	#N#	#propriété#	#PROPRIETE#
284	#expansible#	#ADJ#	#expansibilité#	#N#	#propriété#	#PROPRIETE#
285	#expansif#	#ADJ#	#expansivité#	#N#	#propriété#	#PROPRIETE / ATTITUDE / OCCURRENCE#
286	#exploitable#	#ADJ#	#exploitabilité#	#N#	#propriété#	#PROPRIETE#
